year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1918,2.6,5.4,4.9,5.9,11.3,11.9,14.0,14.6,10.4,8.3,4.8,5.5,3.25,7.36,13.55,7.83,8.33
1919,2.3,1.1,2.5,6.2,11.6,12.5,12.9,14.2,11.6,7.1,2.3,4.1,3.06,6.78,13.23,7.00,7.42
1920,3.8,5.0,5.8,6.8,10.2,12.9,12.9,12.5,11.8,9.7,6.4,3.4,4.31,7.64,12.77,9.29,8.45
1921,5.7,4.2,5.8,7.3,10.0,13.0,16.2,13.8,12.8,11.6,4.4,5.7,4.47,7.69,14.34,9.60,9.24
1922,2.9,3.6,4.0,4.6,10.8,12.2,12.3,12.3,11.0,7.6,5.3,4.8,4.08,6.49,12.23,7.94,7.63
1923,4.9,4.5,5.6,6.3,8.0,11.2,15.6,13.6,11.1,8.6,2.7,3.0,4.73,6.64,13.53,7.48,7.97
1924,3.8,2.8,3.2,6.0,9.7,12.3,13.9,13.0,11.9,9.1,6.4,6.0,3.23,6.29,13.08,9.11,8.19
1925,4.6,3.9,4.1,6.3,10.1,13.4,15.3,14.2,10.4,9.4,3.3,2.0,4.85,6.84,14.34,7.74,8.12
1926,3.8,5.5,5.4,8.1,8.9,12.3,15.4,14.9,13.0,6.9,5.0,3.8,3.72,7.45,14.18,8.29,8.59
1927,3.7,3.7,6.1,6.7,9.4,10.8,14.5,14.4,11.2,9.3,5.2,1.5,3.72,7.40,13.26,8.57,8.07
1928,4.2,4.8,4.9,7.1,9.6,11.2,14.3,13.9,11.5,9.0,6.6,3.1,3.44,7.16,13.18,9.04,8.35
1929,1.0,0.3,5.6,5.6,9.9,11.8,14.4,13.8,13.9,8.4,5.7,4.7,1.50,7.06,13.36,9.31,7.98
1930,4.2,1.7,4.0,7.1,9.5,13.6,14.0,14.3,12.4,9.3,5.1,3.8,3.62,6.87,13.99,8.91,8.29
1931,2.6,2.9,3.0,6.6,9.9,12.5,14.0,13.1,10.7,8.1,6.8,5.0,3.11,6.52,13.22,8.56,7.98
1932,5.4,3.1,4.1,5.6,9.1,12.7,14.6,15.4,11.7,7.7,5.7,4.8,4.54,6.26,14.24,8.36,8.35
1933,1.9,3.2,6.3,7.9,10.5,14.0,16.3,15.9,13.6,9.2,5.0,1.8,3.32,8.22,15.38,9.27,8.82
1934,3.9,3.8,4.0,6.5,9.8,13.4,16.3,13.9,13.0,9.1,5.3,6.8,3.17,6.77,14.57,9.15,8.87
1935,4.0,4.6,5.7,6.8,9.0,13.2,15.4,15.1,12.1,8.3,5.6,2.1,5.15,7.15,14.61,8.69,8.52
1936,2.6,1.9,5.8,5.4,10.1,13.2,14.1,14.8,13.1,8.5,4.9,4.5,2.21,7.12,14.01,8.84,8.26
1937,4.2,4.0,2.4,7.9,10.7,12.6,14.5,15.2,12.0,9.2,4.9,2.2,4.25,6.98,14.10,8.69,8.33
1938,4.7,4.1,8.0,6.8,9.3,12.6,13.6,14.5,12.5,9.3,7.8,3.5,3.63,8.04,13.59,9.86,8.92
